2026-06-01 15:42:01,187 [DEBUG] Porta aperta: COM5 @ 9600 baud
2026-06-01 15:42:47,427 [DEBUG] RX #0001 | testo='5A2BA7B58973C67B21374798CCC2594F' | hex=35 41 32 42 41 37 42 35 38 39 37 33 43 36 37 42 32 31 33 37 34 37 39 38 43 43 43 32 35 39 34 46
2026-06-01 15:43:22,134 [DEBUG] TX #0001 | 32 byte | hex=35 41 32 42 41 37 42 35 38 39 37 33 43 36 37 42 32 31 33 37 34 37 39 38 43 43 43 32 35 39 34 46
2026-06-01 15:43:24,722 [DEBUG] TX #0002 | 32 byte | hex=35 41 32 42 41 37 42 35 38 39 37 33 43 36 37 42 32 31 33 37 34 37 39 38 43 43 43 32 35 39 34 46
2026-06-01 15:43:26,987 [DEBUG] TX #0003 | 32 byte | hex=35 41 32 42 41 37 42 35 38 39 37 33 43 36 37 42 32 31 33 37 34 37 39 38 43 43 43 32 35 39 34 46
2026-06-01 15:43:29,263 [DEBUG] TX #0004 | 32 byte | hex=35 41 32 42 41 37 42 35 38 39 37 33 43 36 37 42 32 31 33 37 34 37 39 38 43 43 43 32 35 39 34 46
2026-06-01 15:43:53,038 [DEBUG] TX #0005 | 32 byte | hex=35 41 32 42 41 37 42 35 38 39 37 33 43 36 37 42 32 31 33 37 34 37 39 38 43 43 43 32 35 39 34 46
2026-06-01 15:43:55,564 [DEBUG] TX #0006 | 32 byte | hex=35 41 32 42 41 37 42 35 38 39 37 33 43 36 37 42 32 31 33 37 34 37 39 38 43 43 43 32 35 39 34 46
2026-06-01 15:43:58,183 [DEBUG] TX #0007 | 32 byte | hex=35 41 32 42 41 37 42 35 38 39 37 33 43 36 37 42 32 31 33 37 34 37 39 38 43 43 43 32 35 39 34 46
2026-06-01 15:44:08,365 [DEBUG] TX #0008 | 32 byte | hex=35 41 32 42 41 37 42 35 38 39 37 33 43 36 37 42 32 31 33 37 34 37 39 38 43 43 43 32 35 39 34 46
2026-06-01 15:44:32,896 [DEBUG] TX #0009 | 32 byte | hex=35 41 32 42 41 37 42 35 38 39 37 33 43 36 37 42 32 31 33 37 34 37 39 38 43 43 43 32 35 39 34 46
2026-06-01 15:44:35,300 [DEBUG] TX #0010 | 32 byte | hex=35 41 32 42 41 37 42 35 38 39 37 33 43 36 37 42 32 31 33 37 34 37 39 38 43 43 43 32 35 39 34 46
